query_id,dataset,model_family,seed,depth,setting,constraint,subgroup,method,valid,abstained,cost_l1,cost_l2,sparsity,plausibility,utility,regret,route_accuracy,runtime_sec,chosen_alpha,oracle_alpha,oracle_utility,projection_route,escalated_exact,accepted_exact
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,nn_positive_train,1.0,0.0,6.086815522267213,2.451027730342219,7.0,1.632881122010199,6.681747690568742,4.237368735840668,,1.200009137392044e-06,0.0,1.0,2.4443789547280734,0.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,knn_mean_k5,1.0,0.0,6.135450244039705,2.4523959814703513,8.0,1.774556142953113,6.801633665482672,4.357254710754599,,7.00005330145359e-07,0.0,1.0,2.4443789547280734,0.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,projection_only,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,fixed_blend,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,fixed_blend_no_repair,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,3.999914042651653e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,learned_alpha,1.0,0.0,2.0019533492510124,1.4142149113813276,3.0,2.295860530892663,2.496332428884912,0.051953474156838375,1.0,0.00039549998473376036,0.9775,1.0,2.4443789547280734,0.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,rule_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,learned_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,learned_router_no_shift,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,learned_router_no_geometry,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,utility_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,utility_router_guarded,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,utility_router_no_shift,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,utility_router_no_geometry,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,safe_router,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,exact_tree_milp,1.0,0.0,2.0000000082691263,1.4142135623730951,2.0,2.2958596977176184,2.444378962926769,8.198695500283293e-09,0.0,0.07440000004135072,-1.0,1.0,2.4443789547280734,0.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=0,adult,tree,7,3,in_domain,r2_realistic,Female,cascade_exact_auto,1.0,0.0,2.0,1.4142135623730951,2.0,2.2958596981871557,2.4443789547280734,0.0,1.0,5.800044164061546e-06,1.0,1.0,2.4443789547280734,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=1,adult,tree,7,3,in_domain,r2_realistic,Male,nn_positive_train,1.0,0.0,7.689639411748367,2.6797160683836827,9.0,1.9677088516533368,8.434795739496366,5.974672570046671,,1.400010660290718e-06,0.0,1.0,2.460123169449694,0.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=1,adult,tree,7,3,in_domain,r2_realistic,Male,knn_mean_k5,1.0,0.0,6.364905182584414,2.4765209048738037,7.0,1.742505047131101,6.976280939654078,4.516157770204384,,1.300009898841381e-06,0.0,1.0,2.460123169449694,0.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=1,adult,tree,7,3,in_domain,r2_realistic,Male,projection_only,1.0,0.0,2.0,1.4142135623730951,2.0,2.400821129664627,2.460123169449694,0.0,1.0,5.199923180043697e-06,1.0,1.0,2.460123169449694,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=1,adult,tree,7,3,in_domain,r2_realistic,Male,fixed_blend,1.0,0.0,2.0,1.4142135623730951,2.0,2.400821129664627,2.460123169449694,0.0,1.0,5.199923180043697e-06,1.0,1.0,2.460123169449694,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=1,adult,tree,7,3,in_domain,r2_realistic,Male,fixed_blend_no_repair,1.0,0.0,2.0,1.4142135623730951,2.0,2.400821129664627,2.460123169449694,0.0,1.0,4.299916326999664e-06,1.0,1.0,2.460123169449694,1.0,0.0,0.0
adult|model=tree|seed=7|depth=3|constraint=r2_realistic|setting=in_domain|row=1,adult,tree,7,3,in_domain,r2_realistic,Male,learned_alpha,1.0,0.0,2.0168963941174836,1.4142553121062391,5.0,2.400441525659206,2.6269626229663645,0.1668394535166704,1.0,0.0003208999987691641,0.99,1.0,2.460123169449694,0.0,0.0,0.0
